Are you:,What is your major?,Gender,Age,What is the highest level of education your parents/guardians have completed? ,How many books do you or your family have at home?,"How comfortable are you in reading, understanding, and communicating in English?",Do you work?,Do you live:,"On average, how many hours of sleep do you get each night?",What was your GPA in high-school? ,How motivated are you to improve your critical thinking skills?,Do you consider yourself a good critical thinker?,Have you ever attended a course or training specifically focused on developing critical thinking skills before? ,"Consider the statement: 
""School uniforms should be mandatory as they reduce distractions and bullying."" 
What is the main claim here?","In the previous question, which statement is used as support for the main claim? ","A company has seen a 20% decrease in sales due to a new competitor. 
What could be a potential first step to address this problem?","Continue thinking about the scenario from the previous question. Let's say that you decided to analyze the competitor's strengths. 
They have a more user-friendly website and faster delivery times. 
What could be your next step?","Consider the claim: 
""Diet rich in fruits and vegetables leads to better health."" 
Which of the following would be strongest evidence for this claim?","Continue thinking about the scenario from the previous question.

Based on your selected answer about the best evidence, how strongly does it support the claim (0-weak, 2-strong)?","Consider the argument: 
""All birds can fly. Penguins are birds. Therefore, penguins can fly."" 
What is wrong with this argument?","If an argument says: 
""If it rains, then there are clouds. It doesn't rain. Therefore, there are no clouds.
Is the conclusion correct?","Considering the statement: 
""Home-schooling is better than traditional schooling."" 
Which of the following perspectives may disagree?","Consider the issue of regulation of social media content (such as laws limiting what can be shared on social media). 
Which perspective might support stricter regulations?","Consider the problem: 
""A bat and ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?"" 
What's your answer?"
Freshman,Liberal Arts,Male,17,Did not complete high school.,Between 20 and 50,Absolutely comfortable.,"Yes, part-time.",With parents,Between 4 and 6,1.7,Somewhat motivated.,Yes,No,School uniforms reduce distractions and bullying.,School uniforms reduce distractions and bullying.,Discredit the competitor in the market.;Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.;A curriculum developer who designs home-schooling programs.,A social media influencer who values complete freedom of speech.;A government official concerned about fake news.;A teenager who uses social media for entertainment.;A social media company CEO concerned about user growth.,$0.05 
Sophomore,CRT-100 Senior Year,Male,17,College degree.,More than 50,Comfortable enough to understand most things.,"Yes, part-time.",With parents,8 or more,2.7,Somewhat motivated.,Yes,No,School uniforms reduce distractions and bullying.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A social media influencer who values complete freedom of speech.,$0.10 
Freshman,Video Arts and Technology,Male,18,,More than 50,,No,With parents,,3.3,Fairly motivated.,I don't know,,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Freshman,Liberal Arts,Female,15,Did not complete high school.,Between 5 and 20,Absolutely comfortable.,"Yes, part-time.",With parents,Between 6 and 8,3,Fairly motivated.,No,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.10 
Sophomore,Business Administration and Management,Female,15,High-school degree.,More than 50,Absolutely comfortable.,"Yes, part-time.",With parents,Between 4 and 6,2.7,Somewhat motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,An article saying fruits and vegetables are rich in essential nutrients.,1,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A social media influencer who values complete freedom of speech.,$0.10 
Freshman,Business Administration and Management,Male,18,Did not complete high school.,Between 20 and 50,Absolutely comfortable.,No,With parents,Between 4 and 6,3.3,Fairly motivated.,I don't know,No,School uniforms reduce distractions and bullying.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A teacher who believes they can provide better instruction than a parent.,A social media company CEO concerned about user growth.,$0.10 
Freshman,9-14 program ,Female,15,High-school degree.,Between 5 and 20,Comfortable enough to understand most things.,No,With parents,8 or more,3.7,Fairly motivated.,I don't know,No,School uniforms should be mandatory.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Sophomore,Liberal Arts,Male,21,College degree.,Between 5 and 20,Fairly comfortable.,No,By yourself,Between 6 and 8,3.7,Fairly motivated.,I don't know,Yes,School uniforms reduce distractions and bullying.,Bullying and distractions are a problem in schools.,Discredit the competitor in the market.,Lower the price of the products.,A doctor recommending a fruit-rich diet without any specific reason.,1,One of the sentences is not true.,Yes,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.50 
Sophomore,I don鈥檛 have a major,Female,15,Did not complete high school.,Between 20 and 50,Fairly comfortable.,No,With parents,Between 4 and 6,3.3,Somewhat motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.,A doctor recommending a fruit-rich diet without any specific reason.,1,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.,A teenager who uses social media for entertainment.,$0.10 
Sophomore,My school primarily focuses on production.,Male,15,College degree.,Between 5 and 20,Absolutely comfortable.,No,With parents,Between 4 and 6,3.7,Fairly motivated.,Yes,No,School uniforms reduce distractions and bullying.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Freshman,Psychology ,Female,21,College degree.,More than 50,Absolutely comfortable.,No,With parents,Between 6 and 8,3.7,Very motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,Yes,A student who enjoys socializing with classmates in a traditional school.,A social media influencer who values complete freedom of speech.;A teenager who uses social media for entertainment.,$0.10 
Sophomore,Communication Studies ,Female,I choose don鈥檛 answer ,Did not complete high school.,More than 50,Somewhat comfortable.,"Yes, part-time.",With parents,Between 6 and 8,3,Very motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A social media influencer who values complete freedom of speech.,$0.05 
Sophomore,Sociology,Female,20,Did not complete high school.,Between 20 and 50,Absolutely comfortable.,"Yes, part-time.",With parents,Between 6 and 8,3.3,Very motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.10 
Freshman,Human Services,Female,21,Did not complete high school.,Between 20 and 50,Absolutely comfortable.,"Yes, part-time.",With parents,Between 4 and 6,2,Very motivated.,I don't know,Yes,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Sophomore,Psychology ,Male,19,High-school degree.,Between 5 and 20,Fairly comfortable.,"Yes, part-time.",With parents,Between 6 and 8,4,Fairly motivated.,Yes,No,School uniforms should be mandatory.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A doctor recommending a fruit-rich diet without any specific reason.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.10 
Freshman,Liberal Arts,Female,17 turning 18 in December ,College degree.,Between 5 and 20,Comfortable enough to understand most things.,"Yes, part-time.",With parents,Between 4 and 6,2.3,Fairly motivated.,Yes,No,School uniforms reduce distractions and bullying.,School uniforms are mandatory.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,Your friend saying they feel healthier after eating more fruits and vegetables.,1,One of the sentences is not true.,No,A teacher who believes they can provide better instruction than a parent.,A social media influencer who values complete freedom of speech.,$0.05 
Freshman,Photography ,Male,17,Did not complete high school.,Between 5 and 20,,No,With parents,Between 4 and 6,3.3,Fairly motivated.,No,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.10 
Freshman,Psychologist,Female,18,High-school degree.,Between 5 and 20,Somewhat comfortable.,"Yes, part-time.",With parents,8 or more,3.3,Fairly motivated.,I don't know,Yes,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,Two sentences are not true.,No,A teacher who believes they can provide better instruction than a parent.,A social media company CEO concerned about user growth.,$0.10 
Sophomore,Science for Health professions (Vet Technician),Female,19,High-school degree.,More than 50,Absolutely comfortable.,"Yes, part-time.",With parents,Between 6 and 8,3,Very motivated.,Yes,Yes,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.;Lower the price of the products.,An article saying fruits and vegetables are rich in essential nutrients.,1,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A social media influencer who values complete freedom of speech.;A teenager who uses social media for entertainment.;A social media company CEO concerned about user growth.,$0.10 
Freshman,Psychology,Male,17,High-school degree.,Between 20 and 50,Absolutely comfortable.,"Yes, part-time.",By yourself,8 or more,3,Very motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Freshman,Computer Science,Male,18,Did not complete high school.,Between 20 and 50,Absolutely comfortable.,No,With parents,8 or more,2,Very motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.05 
Freshman,Psychology,Female,24,College degree.,Between 5 and 20,Comfortable enough to understand most things.,No,By yourself,Between 4 and 6,3.7,Somewhat motivated.,Yes,No,School uniforms should be mandatory.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.05 
Freshman,engineering science,Male,33,Did not complete high school.,Between 5 and 20,Fairly comfortable.,"Yes, full time.",With parents,Between 4 and 6,2.7,Very motivated.,I don't know,Yes,School uniforms reduce distractions and bullying.,Bullying and distractions are a problem in schools.,Do nothing and hope sales improve.;Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,One of the sentences is not true.,Yes,A teacher who believes they can provide better instruction than a parent.,A social media influencer who values complete freedom of speech.;A government official concerned about fake news.,$0.10 
Sophomore,Criminal Justice,Female,24,High-school degree.,Between 5 and 20,Fairly comfortable.,"Yes, full time.",With parents,Between 6 and 8,3.3,Fairly motivated.,I don't know,No,School uniforms reduce distractions and bullying.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.05 
Freshman,Education,Female,21,College degree.,More than 50,Fairly comfortable.,No,With parents,Between 4 and 6,2.7,Very motivated.,Yes,Yes,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Freshman,Education,Female,21,College degree.,More than 50,Fairly comfortable.,No,With parents,Between 4 and 6,2.7,Fairly motivated.,Yes,Yes,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Freshman,Liberal Arts,Male,23,High-school degree.,Between 5 and 20,Absolutely comfortable.,No,With parents,Between 6 and 8,2.7,Somewhat motivated.,Yes,Yes,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.;Lower the price of the products.,An article saying fruits and vegetables are rich in essential nutrients.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.10 
Sophomore,Business Administration and Management,Male,18,College degree.,More than 50,Absolutely comfortable.,"Yes, part-time.",With parents,Between 6 and 8,2,Very motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Freshman,Computer Science,Female,26,High-school degree.,More than 50,Absolutely comfortable.,No,With parents,Less than 4,4,Very motivated.,Yes,Yes,Bullying and distractions are a problem in schools.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.50 
Freshman,Computer Science,Male,22,College degree.,Between 5 and 20,Absolutely comfortable.,"Yes, full time.",With parents,Between 6 and 8,3,Very motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.05 
Freshman,Computer Science,Female,21,Graduate degree.,More than 50,Fairly comfortable.,"Yes, part-time.",With parents,Between 6 and 8,3.7,Very motivated.,Yes,Yes,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A parent who wants their child to have more individualized attention.,A government official concerned about fake news.,$0.05 
Sophomore,Liberal Arts,Male,20,Did not complete high school.,Less than 5,Fairly comfortable.,No,With parents,Between 6 and 8,3,Somewhat motivated.,I don't know,Yes,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A social media influencer who values complete freedom of speech.;A teenager who uses social media for entertainment.,$0.10 
Freshman,psychology,Female,24,College degree.,Between 5 and 20,Comfortable enough to understand most things.,No,By yourself,Between 4 and 6,3.3,Very motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,Yes,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.05 
Sophomore,Nusing,Female,25,Did not complete high school.,Less than 5,Somewhat comfortable.,No,With parents,Between 6 and 8,2.3,Somewhat motivated.,No,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,0,One of the sentences is not true.,No,A teacher who believes they can provide better instruction than a parent.,A teenager who uses social media for entertainment.;A social media company CEO concerned about user growth.,$0.10 
Sophomore,Nusing,Female,25,Did not complete high school.,Less than 5,Somewhat comfortable.,No,With parents,Between 6 and 8,2.3,Somewhat motivated.,No,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,0,One of the sentences is not true.,No,A teacher who believes they can provide better instruction than a parent.,A social media company CEO concerned about user growth.,$0.10 
Freshman,Respiratory Therapy,Male,42,High-school degree.,Between 5 and 20,Comfortable enough to understand most things.,"Yes, full time.",By yourself,Between 4 and 6,3,Very motivated.,I don't know,Yes,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,Yes,A parent who wants their child to have more individualized attention.;A curriculum developer who designs home-schooling programs.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.10 
Freshman,Liberal Arts,Female,21,High-school degree.,Between 5 and 20,Comfortable enough to understand most things.,"Yes, part-time.",With parents,Between 4 and 6,3.3,Fairly motivated.,Yes,Yes,School uniforms reduce distractions and bullying.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,One of the sentences is not true.,No,A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Freshman,Computer Science,Male,24,College degree.,Between 5 and 20,Fairly comfortable.,No,By yourself,8 or more,4,Very motivated.,No,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A teacher who believes they can provide better instruction than a parent.;A curriculum developer who designs home-schooling programs.,A government official concerned about fake news.,$0.10 
Freshman,Computer Science,Male,24,College degree.,Between 5 and 20,Fairly comfortable.,No,By yourself,8 or more,4,Very motivated.,No,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Sophomore,Psychology ,Female,23,High-school degree.,Between 5 and 20,Fairly comfortable.,"Yes, full time.",With parents,Between 4 and 6,2.7,Somewhat motivated.,I don't know,Yes,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A social media influencer who values complete freedom of speech.,$0.10 
Freshman,Computer Science,Female,20,Graduate degree.,More than 50,Absolutely comfortable.,No,By yourself,8 or more,4,Very motivated.,I don't know,No,School uniforms reduce distractions and bullying.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.05 
Sophomore,Science ,Female,19,Did not complete high school.,Between 5 and 20,Absolutely comfortable.,"Yes, part-time.",With parents,Between 4 and 6,3.7,Fairly motivated.,Yes,Yes,School uniforms reduce distractions and bullying.,No support is presented.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Freshman,Computer Science,Female,19,College degree.,More than 50,Absolutely comfortable.,"Yes, part-time.",With parents,Between 6 and 8,3.7,Very motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.05 
Sophomore,Computer Science,Female,21,High-school degree.,Between 20 and 50,Absolutely comfortable.,"Yes, full time.",With parents,Between 6 and 8,3,Somewhat motivated.,No,No,School uniforms reduce distractions and bullying.,School uniforms reduce distractions and bullying.,Discredit the competitor in the market.;Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,Yes,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.10 
Sophomore,psychology stem,Male,20,College degree.,Between 5 and 20,Absolutely comfortable.,"Yes, part-time.",With parents,Between 6 and 8,3.3,Fairly motivated.,Yes,No,School uniforms reduce distractions and bullying.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.50 
Sophomore,Business Administration and Management,Male,20,High-school degree.,Less than 5,Absolutely comfortable.,"Yes, full time.",With parents,Between 4 and 6,3.3,Very motivated.,Yes,No,Bullying and distractions are a problem in schools.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A social media influencer who values complete freedom of speech.;A government official concerned about fake news.,$0.10 
Sophomore,Computer Science,Male,22,,Less than 5,Fairly comfortable.,No,With parents,,2.7,,,,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,"Nothing, it is good.",,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.05 
Sophomore,Psychology,Female,20,Graduate degree.,Between 20 and 50,Absolutely comfortable.,No,With parents,Between 6 and 8,3.7,Somewhat motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.05 
Freshman,Early Childhood Education,Female,24,High-school degree.,More than 50,Fairly comfortable.,"Yes, full time.",With parents,Between 6 and 8,3.7,Fairly motivated.,Yes,No,Bullying and distractions are a problem in schools.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.10 
Freshman,Early Childhood Education,Female,24,High-school degree.,More than 50,Fairly comfortable.,"Yes, full time.",With parents,Between 6 and 8,3.7,Fairly motivated.,Yes,No,Bullying and distractions are a problem in schools.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.10 
Sophomore,Criminal Justice,Female,26,High-school degree.,Between 20 and 50,Absolutely comfortable.,"Yes, full time.",By yourself,Between 6 and 8,3.7,Very motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,Yes,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Sophomore,Liberal Arts,Female,21,High-school degree.,Between 5 and 20,Absolutely comfortable.,"Yes, part-time.",By yourself,Between 6 and 8,3,Very motivated.,Yes,Yes,Bullying and distractions are a problem in schools.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.10 
